Distance,Change number,Travel time,Starting hour,Executing time,Stops number
0.12650739000000044,4,6011.0,1900-01-01 00:12:49,97.52345085144043,33
0.24427442999999371,3,6608.0,1900-01-01 01:07:52,54.63767051696777,41
0.21180456000000092,7,7258.0,1900-01-01 02:30:02,24.226903915405273,37
0.14273841999999703,3,2653.0,1900-01-01 14:04:47,48.91157150268555,14
0.2155230900000049,5,8524.0,1900-01-01 21:07:56,38.39278221130371,27
0.08957937000000271,8,1215.0,1900-01-01 05:36:45,244.18091773986816,13
0.19015027000000018,9,6664.0,1900-01-01 21:12:56,86.41195297241211,33
0.1349531199999987,6,2451.0,1900-01-01 20:12:09,20.63274383544922,28
0.23315406000000038,11,25374.0,1900-01-01 23:37:06,158.77199172973633,45
0.21906541000000246,18,11603.0,1900-01-01 01:51:37,109.44771766662598,81
0.1926872899999985,8,2512.0,1900-01-01 15:25:08,30.135631561279297,27
0.17146726999999728,9,2824.0,1900-01-01 08:09:56,65.17505645751953,37
0.11717107000000482,3,1789.0,1900-01-01 17:17:11,9.71221923828125,22
0.22790509999999742,13,3775.0,1900-01-01 19:45:05,44.09980773925781,38
0.48750545000000045,15,11729.0,1900-01-01 13:17:31,41.34631156921387,63
0.06448052999999732,5,1708.0,1900-01-01 10:21:32,19.118070602416992,19
0.05418700000000243,7,3680.0,1900-01-01 07:05:40,61.68723106384277,26
0.2713990499999994,6,23311.0,1900-01-01 23:57:29,70.28651237487793,35
0.03746128000000226,4,556.0,1900-01-01 12:03:44,19.19722557067871,5
0.18376905999999593,9,21023.0,1900-01-01 01:21:37,246.5522289276123,22
0.13590773999999683,8,2643.0,1900-01-01 07:37:57,29.011011123657227,27
0.4190200699999984,18,12719.0,1900-01-01 04:00:01,31.683921813964844,50
0.14998377999999946,8,2738.0,1900-01-01 13:15:22,22.03989028930664,25
0.22799280000000266,6,7734.0,1900-01-01 21:12:06,41.75686836242676,46
0.06266058000000285,5,2479.0,1900-01-01 11:26:41,73.24433326721191,13
0.12045460000000219,9,2128.0,1900-01-01 09:27:32,23.17500114440918,19
0.2603504500000007,9,7119.0,1900-01-01 13:39:21,35.063982009887695,42
0.0913078899999995,4,13158.0,1900-01-01 14:11:42,49.971580505371094,19
0.07148592999999792,4,1101.0,1900-01-01 15:12:39,18.701553344726562,10
0.05608748999999946,4,1611.0,1900-01-01 11:14:09,57.79719352722168,13
0.08002778000000532,3,944.0,1900-01-01 18:51:16,36.01527214050293,11
0.23612166999999573,13,5566.0,1900-01-01 15:32:14,58.27522277832031,53
0.01025747999999993,2,450.0,1900-01-01 23:24:30,2.622842788696289,2
0.057688179999999534,4,3837.0,1900-01-01 15:57:03,9.940147399902344,16
0.1504913499999958,7,15983.0,1900-01-01 02:07:37,141.56413078308105,38
0.12487574999999751,7,36688.0,1900-01-01 21:14:32,208.12559127807617,25
0.162141050000006,5,4249.0,1900-01-01 20:52:11,19.498825073242188,27
0.1735937399999976,8,2557.0,1900-01-01 18:01:23,12.93325424194336,20
0.22413067999999825,3,4495.0,1900-01-01 06:50:05,9.021759033203125,24
0.37355426999999963,15,17368.0,1900-01-01 12:22:32,166.39304161071777,64
0.25792500999999746,16,4081.0,1900-01-01 16:07:59,29.102563858032227,42
0.21290957999999804,11,40575.0,1900-01-01 18:04:45,246.60539627075195,38
0.1465553300000053,13,3354.0,1900-01-01 14:31:06,34.633636474609375,37
0.2120842699999983,7,6617.0,1900-01-01 04:12:43,61.77353858947754,36
0.10357769000000516,6,3130.0,1900-01-01 21:34:50,25.646686553955078,38
0.19877261999999263,5,3512.0,1900-01-01 18:07:28,16.43967628479004,37
0.2764940100000004,11,4840.0,1900-01-01 06:53:20,36.177873611450195,53
0.17633975000000035,8,12529.0,1900-01-01 18:44:11,257.9219341278076,18
0.25209376999999833,16,9904.0,1900-01-01 02:39:56,118.56555938720703,49
0.07731748000000493,8,2488.0,1900-01-01 07:37:32,38.143157958984375,19
0.422844180000002,12,17350.0,1900-01-01 10:00:50,54.718732833862305,56
0.17233146000000232,12,3717.0,1900-01-01 08:18:03,26.365280151367188,26
0.04305857999999674,3,1139.0,1900-01-01 12:47:01,12.001752853393555,12
0.13343790000000055,9,6174.0,1900-01-01 09:00:06,25.490760803222656,43
0.12671103999999644,8,3846.0,1900-01-01 09:33:54,33.59842300415039,18
0.06570372999999563,4,2409.0,1900-01-01 18:46:51,23.268938064575195,13
0.2464956899999997,6,8408.0,1900-01-01 19:02:52,19.107341766357422,51
0.22725996000000137,11,4550.0,1900-01-01 14:27:10,40.32492637634277,31
0.45987233000000316,22,8983.0,1900-01-01 02:59:17,35.37249565124512,68
0.26411151000000643,10,23427.0,1900-01-01 23:24:33,116.36018753051758,50
0.17044656000000202,5,11991.0,1900-01-01 01:42:09,18.366098403930664,35
0.290314599999995,9,5619.0,1900-01-01 09:20:21,39.51668739318848,58
0.0726166500000005,7,2679.0,1900-01-01 20:58:21,16.240596771240234,25
0.06823364999999981,4,4358.0,1900-01-01 13:50:22,25.155305862426758,27
0.06194632999999783,5,3059.0,1900-01-01 21:26:01,30.69758415222168,32
0.37835235000000367,12,18052.0,1900-01-01 00:07:08,31.9058895111084,62
0.10377557999999709,11,5504.0,1900-01-01 23:15:16,51.204681396484375,32
0.1427478600000036,6,1910.0,1900-01-01 05:32:10,22.593975067138672,24
0.05252592000000078,3,2574.0,1900-01-01 22:43:06,15.999078750610352,18
0.12021869999999524,7,3435.0,1900-01-01 18:45:45,60.37545204162598,26
0.1697164699999938,10,3789.0,1900-01-01 20:07:51,43.311119079589844,22
