Distance,Change number,Travel time,Starting hour,Executing time,Stops number
0.28467937000000276,14,9490.0,1900-01-01 19:45:50,110.40616035461426,55
0.22284223999999497,12,6991.0,1900-01-01 19:37:29,84.33651924133301,36
0.010228089999994694,2,9817.0,1900-01-01 02:23:23,1.4438629150390625,4
0.6111745699999993,27,17984.0,1900-01-01 01:03:16,281.51869773864746,102
0.10644867999999974,4,1491.0,1900-01-01 04:17:09,26.006698608398438,17
0.34202981999999693,12,9099.0,1900-01-01 12:22:21,104.84623908996582,52
0.21608541000000514,4,10748.0,1900-01-01 02:00:52,96.3449478149414,24
0.14927615999999944,5,9338.0,1900-01-01 02:44:22,76.42817497253418,25
0.1805574099999987,9,4304.0,1900-01-01 15:55:16,20.710229873657227,30
0.19066092000000268,9,13049.0,1900-01-01 15:48:31,12.128114700317383,34
0.3501518400000023,13,21253.0,1900-01-01 00:35:47,125.36144256591797,64
0.2675559099999987,22,6438.0,1900-01-01 13:23:42,72.84283638000488,55
0.1283038000000012,10,2899.0,1900-01-01 19:21:41,36.985158920288086,26
0.37175939000000113,12,5828.0,1900-01-01 19:59:52,91.98856353759766,37
0.08037236000000192,13,3216.0,1900-01-01 16:31:24,37.56976127624512,28
0.30746837000000227,17,3476.0,1900-01-01 04:33:04,55.21893501281738,56
0.0732575099999977,4,2675.0,1900-01-01 17:56:25,6.337642669677734,21
0.05035809999999685,1,1034.0,1900-01-01 22:25:46,6.963491439819336,6
0.15154817000000165,9,2682.0,1900-01-01 06:03:18,66.36404991149902,25
0.10583986000000323,9,4692.0,1900-01-01 17:09:48,76.37596130371094,29
0.2676088300000039,11,5421.0,1900-01-01 11:45:39,107.63049125671387,40
0.12271719999999675,9,11510.0,1900-01-01 01:02:10,45.0437068939209,38
0.08812780999999958,10,1404.0,1900-01-01 17:45:36,28.977632522583008,17
0.10408180999999672,7,3338.0,1900-01-01 20:15:22,105.36766052246094,24
0.17525491999999687,8,2698.0,1900-01-01 05:55:02,64.02397155761719,27
0.1801500400000009,11,24884.0,1900-01-01 22:48:16,186.91754341125488,37
0.033717740000003715,7,2186.0,1900-01-01 13:27:34,100.33941268920898,16
0.09157864999999532,26,10366.0,1900-01-01 02:25:14,98.23036193847656,89
0.1201617400000039,5,3750.0,1900-01-01 04:37:30,88.3634090423584,22
0.3704826700000048,13,9923.0,1900-01-01 07:54:37,87.90206909179688,53
0.06528832999999423,4,7646.0,1900-01-01 07:47:34,77.91018486022949,15
0.06179325000000446,9,2510.0,1900-01-01 07:17:10,32.10115432739258,23
0.10356019000000316,9,2209.0,1900-01-01 14:16:11,53.53426933288574,20
0.12713545000000082,8,6485.0,1900-01-01 20:47:55,36.97466850280762,32
0.348102480000005,19,6521.0,1900-01-01 15:46:19,77.6679515838623,60
0.1066959999999959,5,20782.0,1900-01-01 23:03:38,209.08474922180176,29
0.10533937999999665,8,2291.0,1900-01-01 06:47:49,62.6225471496582,21
0.0828610600000026,14,9410.0,1900-01-01 20:34:10,154.56414222717285,59
0.1823847100000009,9,9378.0,1900-01-01 17:27:42,32.71484375,32
0.3970148499999979,9,5596.0,1900-01-01 07:03:44,110.7492446899414,52
0.037587000000002035,2,759.0,1900-01-01 18:15:21,7.061004638671875,6
0.08506719999999746,15,4144.0,1900-01-01 03:45:56,54.18562889099121,59
0.06898880000000318,5,2977.0,1900-01-01 08:51:23,135.90693473815918,15
0.16389391999999958,22,25138.0,1900-01-01 22:11:02,184.69548225402832,68
0.15764805000000237,5,5700.0,1900-01-01 21:41:00,29.235363006591797,13
0.07676553999999669,5,2957.0,1900-01-01 19:04:43,57.84177780151367,22
0.2175219900000016,10,6614.0,1900-01-01 10:27:46,23.531436920166016,28
0.20693893000000685,7,3423.0,1900-01-01 10:43:57,36.51762008666992,28
0.2794778200000003,12,4962.0,1900-01-01 03:54:18,166.4576530456543,56
0.2775376200000004,9,36423.0,1900-01-01 21:31:57,116.51039123535156,41
0.07194365999999874,8,2379.0,1900-01-01 23:02:21,94.23708915710449,17
0.39403435000000187,9,7709.0,1900-01-01 22:58:31,50.8723258972168,55
0.13762725000000486,9,2562.0,1900-01-01 19:02:18,59.36479568481445,21
0.18696582000000106,7,4253.0,1900-01-01 06:29:07,52.0472526550293,38
0.3407232800000024,13,7382.0,1900-01-01 15:51:58,86.48371696472168,40
0.003761820000001137,1,695.0,1900-01-01 04:24:25,0.43272972106933594,1
0.015449379999999735,2,2559.0,1900-01-01 22:37:21,3.5927295684814453,5
0.17740145999999513,8,4303.0,1900-01-01 13:17:17,82.58867263793945,23
0.17846989000000235,9,2653.0,1900-01-01 21:28:47,76.12848281860352,30
0.2402362599999961,9,4761.0,1900-01-01 15:45:39,33.892154693603516,19
0.4741970000000002,21,7410.0,1900-01-01 17:56:30,186.99383735656738,72
0.13441994999999807,9,2452.0,1900-01-01 07:22:08,52.20174789428711,25
0.20583869000000377,9,4233.0,1900-01-01 21:59:27,60.8522891998291,34
0.22241866999999615,12,2592.0,1900-01-01 10:00:48,40.573835372924805,29
0.09344721000000078,4,2498.0,1900-01-01 18:06:22,23.902177810668945,22
0.18181575000000194,16,16215.0,1900-01-01 01:12:45,105.32021522521973,56
0.023866339999997876,4,3099.0,1900-01-01 17:49:21,48.08616638183594,12
0.1655113400000019,6,2489.0,1900-01-01 13:57:31,39.62993621826172,26
0.06284578999999368,5,4397.0,1900-01-01 03:08:43,12.380123138427734,21
0.04019776000000164,4,1395.0,1900-01-01 17:59:45,12.45260238647461,11
0.023188910000001783,3,2198.0,1900-01-01 22:55:22,7.550239562988281,7
