Distance,Change number,Travel time,Starting hour,Executing time,Stops number
0.2437945500000005,36,11871.0,39669,82.81540870666504,52
0.0477606399999963,11,10386.0,8454,22.297382354736328,14
0.2186114000000039,6,26004.0,60816,10.195016860961914,52
0.1451071299999959,50,19710.0,9750,117.68627166748048,71
0.1355502599999987,15,5929.0,35531,17.6846981048584,22
0.0381879900000008,9,3341.0,76279,15.517950057983398,9
0.2074068599999989,25,5488.0,52172,45.78542709350586,27
0.2399112999999992,52,31477.0,74183,106.0638427734375,57
0.1359475799999998,22,16563.0,897,51.25665664672852,22
0.1518791200000002,33,30635.0,45805,141.30306243896484,50
0.0267572999999998,30,40481.0,65239,219.1314697265625,57
0.1354776800000046,21,6311.0,50509,70.00207901000977,24
0.0609717699999947,12,669.0,85791,47.624826431274414,36
0.2709735000000037,14,37973.0,66667,103.78408432006836,28
0.3214077100000025,39,26803.0,49577,76.40576362609863,52
0.1033489500000008,15,37251.0,69669,110.55254936218262,23
0.473003110000004,41,39061.0,73139,173.43807220458984,74
0.2193618300000039,22,6612.0,45048,91.52579307556152,28
0.2177586799999993,9,2153.0,84367,11.913776397705078,49
0.2308422900000017,51,13307.0,69073,106.77886009216309,61
0.0632529099999992,13,7937.0,78943,51.71847343444824,14
0.0874446800000043,9,3629.0,34951,15.806198120117188,14
0.0774053399999985,8,8173.0,83027,94.31767463684082,10
0.080054000000004,15,14778.0,4482,53.6961555480957,16
0.264301310000004,27,20557.0,82883,114.35484886169434,58
0.0759737500000028,10,2378.0,21862,26.48162841796875,12
0.2280400799999995,34,15423.0,7017,101.8507480621338,47
0.2356990000000003,26,23020.0,34460,50.86302757263184,34
0.1368722100000035,21,23284.0,8996,103.67488861083984,28
0.1186203799999994,37,6855.0,15465,93.63842010498048,44
0.2124024599999998,16,21214.0,84146,128.1881332397461,44
0.3751719599999994,49,10799.0,42121,127.77328491210938,70
0.0297682100000038,7,2106.0,42474,21.04640007019043,8
0.0604648900000022,11,3270.0,18810,31.3112735748291,12
0.0891755700000018,5,17765.0,5215,102.04839706420898,8
0.3944820400000033,33,24762.0,31458,108.42657089233398,49
0.1154228899999978,14,3842.0,54898,88.34123611450195,14
0.2864058800000038,26,25421.0,39019,107.56516456604004,28
0.2903730400000057,54,53049.0,49131,140.61760902404785,77
0.2823024799999949,41,86092.0,19568,106.90546035766602,65
0.1834709599999939,24,37828.0,43532,187.89362907409668,45
0.1116993099999987,13,10954.0,80066,85.45780181884766,16
0.492556320000002,40,22540.0,62120,81.6488265991211,66
0.0981991300000046,22,9417.0,69783,68.99070739746094,26
0.0290773699999995,10,2581.0,57479,13.978242874145508,10
0.1208617699999976,17,4899.0,50721,36.40437126159668,20
0.0722552699999994,15,3978.0,61122,47.06382751464844,15
0.1472903000000052,23,1575.0,17505,24.203777313232425,25
0.4830922699999966,52,32090.0,72250,189.1496181488037,137
0.3701286900000013,34,22301.0,79519,124.4986057281494,64
0.1461722699999974,42,13676.0,6484,79.18143272399902,49
0.0902960899999953,13,2582.0,26758,11.336326599121094,14
0.0948430200000025,29,18900.0,1200,92.47612953186037,29
0.4116580200000008,75,67541.0,39979,261.82079315185547,102
0.106854380000005,19,5898.0,42942,59.0810775756836,24
0.1355152900000007,31,4455.0,16305,109.6210479736328,32
0.1855894600000027,11,,24176,119.46749687194824,27
0.1312437899999992,19,19536.0,59424,82.55577087402344,27
0.0791676699999968,17,4017.0,65883,18.37158203125,17
0.1505332700000039,22,15800.0,3760,58.38131904602051,27
0.0842401399999985,8,8976.0,11544,68.31741333007812,10
0.0704343300000047,26,7087.0,12113,41.26238822937012,36
0.2078751600000004,32,9039.0,31941,71.26474380493164,36
0.2372002000000037,37,17922.0,2718,115.10992050170898,43
0.2132319300000027,15,31247.0,74413,95.5810546875,22
0.307904330000003,26,13279.0,62021,64.89920616149902,55
0.0850758999999996,13,4255.0,45125,26.102781295776367,14
0.1844710900000024,22,10097.0,69643,61.46955490112305,29
0.1564659299999995,7,26741.0,48439,2.334117889404297,13
0.0288338899999978,5,1390.0,58310,2.332925796508789,7
0.0470321300000016,14,1840.0,85220,50.70400238037109,48
0.0217060500000023,5,1351.0,58349,8.150100708007812,5
0.3496415200000022,34,7945.0,78635,66.21265411376953,77
0.2551768599999988,16,4940.0,83200,86.88998222351074,51
0.3097512099999981,52,17672.0,8308,94.17891502380373,67
0.0531479100000034,11,21414.0,84666,141.7562961578369,19
0.2394732100000034,35,7888.0,58472,61.77735328674317,39
0.2080417399999987,10,18964.0,85616,135.6818675994873,32
0.142998249999998,38,14065.0,68555,200.54030418396,80
0.2306639599999975,28,7049.0,30571,51.37395858764648,40
0.0185314900000008,1,1387.0,86093,52.934885025024414,2
0.2671369800000036,44,18195.0,2565,112.40029335021973,54
0.1468058200000008,10,1556.0,85144,125.80537796020508,32
0.2000208299999997,30,19642.0,938,116.17231369018556,49
0.2388356299999969,23,10223.0,75637,38.49387168884277,64
0.1426197700000067,23,25598.0,77362,95.2928066253662,29
0.2384808599999957,15,41272.0,60968,95.52931785583496,32
0.1240287499999972,9,4568.0,34972,12.090682983398438,13
0.3581034500000015,29,3564.0,26916,104.79378700256348,50
0.1124723900000042,20,17911.0,37049,92.33617782592772,32
0.110680460000001,21,5751.0,55569,55.7091236114502,23
0.0921058300000012,28,11707.0,7853,57.4793815612793,34
0.4021321600000007,26,26577.0,76263,165.41337966918945,68
0.4405915400000033,32,53833.0,53567,125.5812644958496,41
0.0713588300000012,10,25622.0,80218,150.85148811340332,21
0.2092564799999969,30,7506.0,42474,48.55012893676758,41
0.1601554299999996,32,14181.0,8559,91.91608428955078,35
0.1467669500000035,19,5142.0,39678,53.373098373413086,21
0.3498639000000025,48,13832.0,7168,76.48086547851562,64
0.0856909500000036,24,10058.0,66562,68.40634346008301,26
